lncRNA,score
KTN1-AS1,0.434751521
CTD-2034I4.1,0.434742235
RP11-776H12.1,0.43473295
CTD-3193O13.13,0.434723665
RP5-1142A6.9,0.434717475
RP11-658F2.8,0.434711286
NONHSAG056025,0.434705096
RP11-90P5.2,0.434702002
SLC38A3,0.434698907
FOXP1-AS1,0.434695813
RP11-426A6.5,0.434692718
ARHGAP11B,0.434689624
AC006160.5,0.434674152
RP11-258F1.1,0.434674152
RP11-275I14.4,0.434671058
RP11-143J12.3,0.434655588
CTD-2384A14.1,0.434643212
RP11-159F24.3,0.434643212
RP11-881M11.4,0.434630837
CTD-3032J10.2,0.434630837
RP11-197K3.1,0.434612277
AP000662.4,0.434609183
RP11-115H15.2,0.434599904
RC3H1-IT1,0.434587532
RP11-566E18.3,0.434578253
RP11-87F15.2,0.434572067
CTD-2066L21.3,0.434565882
RP11-83A24.1,0.434553511
RAB11B-AS1,0.434550419
C6orf3,0.434541142
RP11-390D11.1,0.434541142
AC093495.4,0.434507129
TAF10,0.434507129
RP11-146I2.1,0.434504037
A2ML1-AS1,0.434500946
RP11-588H23.3,0.434494762
RP11-165E7.1,0.434494762
AC097500.2,0.43449167
CACTIN-AS1,0.434488579
CTD-3185P2.2,0.434488579
RP3-477O4.14,0.434473122
DIAPH2-AS1,0.434473122
AC003104.1,0.434463848
AC079145.4,0.434454574
AC013472.4,0.434448392
AC012487.2,0.43444221
RP11-4K16.2,0.43444221
CTD-2369P2.8,0.434439119
AC002401.1,0.434436029
AC002310.7,0.434429847
CTC-340A15.2,0.434426756
RP11-79E3.3,0.434423666
TTTY14,0.434423666
KCNIP2-AS1,0.434414394
RP11-85F14.5,0.434411304
RP11-510J16.5,0.434408213
AC010982.1,0.434405123
CTC-559E9.6,0.434402032
CTD-2008L17.1,0.434392762
AC004741.3,0.434392762
RP11-847H18.2,0.434386581
CTD-2521M24.6,0.434383491
RP13-216E22.5,0.434383491
RP11-894P9.2,0.434377311
RP5-1101C3.1,0.434371131
ZNF271,0.434349503
NONHSAG013533,0.434324788
RP11-417O11.5,0.434324788
RP1-257A7.4,0.434321698
RP11-930P14.1,0.434309342
RP11-137L10.6,0.434303164
RP1-92O14.6,0.434303164
AC131025.8,0.434293898
RP11-574F21.2,0.434290809
CTD-2545M3.2,0.43428772
RP11-69I8.3,0.434281543
