lncRNA,score
CTD-2369P2.5,1.18E-05
RP3-508I15.14,1.18E-05
RP11-54A4.2,1.18E-05
AC053503.11,1.18E-05
RP4-605O3.4,1.18E-05
GNAS-AS1,1.18E-05
RP11-670E13.5,1.18E-05
PDXDC2P,1.18E-05
RP11-617D20.1,1.17E-05
RP11-944L7.4,1.17E-05
XXbac-B461K10.4,1.17E-05
RP3-510L9.1,1.17E-05
RP11-566K11.7,1.16E-05
RP11-382A20.7,1.16E-05
AP000487.5,1.16E-05
RP11-394O4.4,1.16E-05
RP11-219B17.1,1.16E-05
CTA-85E5.10,1.16E-05
MIR600HG,1.16E-05
RP11-894P9.1,1.16E-05
SNORD109A,1.16E-05
RP5-1132H15.1,1.15E-05
RP11-317G6.1,1.15E-05
RP5-914P20.5,1.15E-05
RP11-108K3.1,1.15E-05
RP5-1186N24.3,1.15E-05
RP11-773H22.4,1.15E-05
RP11-152N13.5,1.15E-05
RP4-669H2.1,1.15E-05
RP11-6N13.1,1.15E-05
AC004893.11,1.15E-05
RP11-328J2.1,1.14E-05
CTB-107G13.1,1.14E-05
RP5-940J5.9,1.14E-05
RP11-100L22.2,1.14E-05
RP11-399K21.11,1.14E-05
AC074212.5,1.14E-05
RP11-439E19.10,1.14E-05
MIRLET7DHG,1.14E-05
CTC-425F1.4,1.14E-05
AC015849.13,1.13E-05
RP11-288I21.1,1.13E-05
LINC00174,1.13E-05
STARD4-AS1,1.13E-05
HMGN2P28,1.13E-05
RP11-779O18.3,1.13E-05
GS1-179L18.1,1.13E-05
CTD-2555O16.2,1.12E-05
AC005329.7,1.12E-05
AC002116.7,1.12E-05
RP5-872K7.7,1.12E-05
RP1-20N2.6,1.12E-05
RP11-148K1.12,1.12E-05
AC005592.2,1.12E-05
RP11-45M22.3,1.12E-05
RP11-429B14.1,1.12E-05
RP11-383J24.5,1.12E-05
CTB-111H14.1,1.12E-05
RP11-504P24.3,1.12E-05
CTD-3138B18.5,1.11E-05
RP11-499F3.2,1.11E-05
CLDN12,1.11E-05
ZNF205-AS1,1.11E-05
RP11-631N16.2,1.11E-05
MLK7-AS1,1.11E-05
CTC-542B22.2,1.11E-05
AC006460.2,1.11E-05
AC074286.1,1.11E-05
RP11-648K4.2,1.10E-05
RP5-1007M22.2,1.10E-05
AC093391.2,1.10E-05
AC007970.1,1.10E-05
LINC00473,1.10E-05
LINC00568,1.10E-05
PRR7-AS1,1.10E-05
LOC100289511,1.10E-05
RP11-506H20.1,1.09E-05
RP11-1103G16.1,1.09E-05
OCIAD1-AS1,1.09E-05
KB-1047C11.2,1.09E-05
RP4-537K23.4,1.09E-05
PROSER2-AS1,1.09E-05
RP11-243J16.7,1.09E-05
AC005786.7,1.09E-05
RP11-122G18.5,1.09E-05
RP11-395P17.11,1.09E-05
RP11-98I9.4,1.09E-05
RP11-529K1.2,1.08E-05
AD000090.2,1.08E-05
RP11-96H19.1,1.08E-05
RP4-756H11.3,1.08E-05
AC097468.4,1.08E-05
RP11-395B7.7,1.08E-05
EAF1-AS1,1.08E-05
RP11-21A7A.2,1.08E-05
S100A13,1.07E-05
AC144449.1,1.07E-05
EFCAB14-AS1,1.07E-05
RP11-611O2.5,1.07E-05
STX18-AS1,1.07E-05
AC002539.1,1.07E-05
RP11-21B21.4,1.07E-05
RP11-552M11.4,1.07E-05
RP11-872D17.4,1.07E-05
IQCH-AS1,1.07E-05
NONHSAG043637,1.06E-05
LINC00613,1.06E-05
RP11-131L23.1,1.06E-05
RP11-24C3.2,1.06E-05
MT-RNR2,1.06E-05
RP11-127I20.7,1.06E-05
LINC00649,1.06E-05
MIR4523,1.05E-05
AC006547.13,1.05E-05
RP11-285F7.2,1.05E-05
KCP,1.05E-05
LINC00667,1.05E-05
RP11-111A22.1,1.05E-05
RP11-382A20.6,1.05E-05
RP11-517O13.1,1.05E-05
RP11-385J1.2,1.05E-05
PXN-AS1,1.05E-05
RP11-359D24.1,1.05E-05
NONHSAG038091,1.04E-05
LINC00662,1.04E-05
RP11-768F21.1,1.04E-05
AC005152.3,1.04E-05
UBOX5-AS1,1.04E-05
CTD-2175A23.1,1.04E-05
EIF3J-AS1,1.04E-05
AP003419.11,1.04E-05
RP11-849H4.4,1.04E-05
RP11-113K21.4,1.04E-05
PRMT5-AS1,1.04E-05
CT49,1.04E-05
RSBN1L-AS1,1.03E-05
RP11-191L9.4,1.03E-05
RP11-673E1.4,1.03E-05
RP11-197K3.1,1.03E-05
DGUOK-AS1,1.03E-05
CTD-2349P21.11,1.03E-05
PTPRG-AS1,1.03E-05
TMPO-AS1,1.03E-05
NBPF18P,1.03E-05
KDM4A-AS1,1.02E-05
AC098617.1,1.02E-05
RP11-256P1.1,1.02E-05
CTC-498J12.3,1.02E-05
RNF219-AS1,1.02E-05
RP11-702H23.4,1.02E-05
RP11-373N22.3,1.02E-05
RP11-20B24.5,1.02E-05
RP5-1021I20.5,1.02E-05
TAPT1-AS1,1.01E-05
RP11-211G3.2,1.01E-05
AJ003147.9,1.01E-05
CTC-429P9.2,1.01E-05
AC006378.2,1.01E-05
RP5-1142A6.9,1.01E-05
AC009495.2,1.01E-05
RP11-518L10.5,1.01E-05
RP11-274H2.2,1.01E-05
RP11-398K22.12,1.01E-05
RP11-81H3.2,1.01E-05
LINC00461,1.01E-05
RP3-460G2.2,1.01E-05
AC092168.2,1.00E-05
RP5-1085F17.3,1.00E-05
AC096559.1,1.00E-05
RP11-96K19.2,1.00E-05
GUSBP4,1.00E-05
AC016683.6,1.00E-05
ATXN8OS,1.00E-05
RP11-81N13.1,1.00E-05
RP11-529H2.2,1.00E-05
RP11-384J4.2,9.99E-06
RP11-99J16__A.2,9.99E-06
CTD-2034I21.1,9.98E-06
RP11-166D19.1,9.98E-06
CTD-2636A23.2,9.98E-06
RP11-793H13.3,9.97E-06
RP4-723E3.1,9.96E-06
NONHSAG008404,9.95E-06
CTD-2127H9.1,9.92E-06
AC003104.1,9.89E-06
RP11-392O1.4,9.89E-06
AP001432.14,9.88E-06
RP11-142G7.2,9.88E-06
RP11-303E16.3,9.88E-06
CTD-2031P19.5,9.86E-06
RP11-326C3.11,9.85E-06
SMAD5-AS1,9.85E-06
RP11-103J8.1,9.85E-06
RP11-428C19.4,9.84E-06
CTD-2017C7.2,9.82E-06
HOXA-AS2,9.82E-06
RP11-421F16.3,9.82E-06
CTD-2541M15.1,9.82E-06
RP5-1033H22.2,9.82E-06
FLNB-AS1,9.81E-06
RP11-308D16.4,9.81E-06
RP11-509J21.1,9.80E-06
AC007098.1,9.80E-06
AP003419.16,9.80E-06
RP1-239B22.5,9.80E-06
RP11-59H7.3,9.80E-06
CTD-2542L18.1,9.78E-06
CTD-2231E14.8,9.78E-06
ARAP1-AS1,9.78E-06
ANKRD18A,9.78E-06
PARGP1,9.77E-06
CTD-2154I11.2,9.76E-06
MAGI1-AS1,9.75E-06
MT1X,9.75E-06
GRM7-AS3,9.74E-06
RP11-484D2.2,9.74E-06
RP11-493K19.3,9.73E-06
AC021016.8,9.73E-06
AC007038.7,9.73E-06
AC093818.1,9.72E-06
RP11-715J22.4,9.72E-06
RP1-56K13.3,9.72E-06
ZFHX4-AS1,9.70E-06
RP11-75N4.2,9.68E-06
RP11-752G15.6,9.65E-06
AC002117.1,9.65E-06
RP11-665G4.1,9.63E-06
CTB-58E17.9,9.62E-06
AC091153.4,9.62E-06
RP11-775D22.3,9.61E-06
AP000705.7,9.61E-06
AC018766.6,9.60E-06
CTD-2006C1.12,9.59E-06
RP11-191G24.1,9.58E-06
PCAT2,9.56E-06
DISC1FP1,9.54E-06
RP11-316M1.3,9.51E-06
RP11-319G6.1,9.51E-06
NONHSAG029191,9.50E-06
MEF2C-AS1,9.50E-06
AF196970.3,9.49E-06
LINC00240,9.48E-06
ZBED3-AS1,9.47E-06
RP11-46A10.5,9.47E-06
LINC00910,9.47E-06
RP11-385F5.4,9.47E-06
LENG8-AS1,9.45E-06
CTD-2196E14.4,9.43E-06
PPP1R26-AS1,9.43E-06
RP11-471B22.2,9.42E-06
RP11-516C1.1,9.41E-06
