Official Symbol Interactor A,Official Symbol Interactor B
Bloc1s6,Bloc1s4
Supt5,Ppp2r2d
Supt5,Csnk2b
Supt5,Dbn1
Supt5,Tcea1
Supt5,Carm1
Supt5,Csde1
Supt5,Farsb
Supt5,Prmt5
Supt5,Ranbp3
Supt5,Rpl8
Supt5,Set
Scmh1,Phc1
Scmh1,Gmnn
Scmh1,Hist2h2ac
Phc1,Scmh1
Phc1,Phc2
Phc1,Bmi1
Phc1,Cbx2
Phc1,Rnf2
Phc1,Sf3b1
Mras,Mllt4
Hes6,Hes1
Hes6,Ssbp3
Stk11,Stk11ip
Cd14,Tlr4
Lrp8,Dab1
Lrp8,Mapk8ip1
Lrp8,Mapk8ip2
Lrp8,Mapk8
Lrp8,Mapk9
Lrp8,Map2k7
Lrp8,Dusp16
Lrp8,Efnb3
Lrp8,Grin1
Lrp8,Dlg4
Ldlr,Dab1
Ldlr,Lrp8
Ldlr,Mylip
Ldlr,Ngly1
Ldlr,Pdia5
Ldlr,Tmem38b
Ldlr,Vldlr
Vldlr,Dab1
Vldlr,Pafah1b3
Vldlr,Pafah1b2
Vldlr,Efnb3
Vldlr,Mylip
Vldlr,Reln
Vcl,Raver1
Vcl,Bcar1
Vcl,Lap3
Vcl,Lrrc59
Vcl,Pdcd10
Vcl,Scfd1
Vcl,Actn1
Vcl,Coro2b
Vcl,Echs1
Vcl,Hadhb
Vcl,Myh9
Vcl,Ndel1
Vcl,Tpm4
Vcl,Ubfd1
Vcl,Asap1
Vcl,Fermt3
Raver1,Actn4
Raver1,Actn2
Raver1,Ptbp3
Raver1,Vcl
Raver1,Rpl15
Raver1,Rpl4
Rpgrip1,Rpgr
Rpgr,Rpgrip1
Grap2,Kit
Grap2,Map4k1
Grap2,Shc1
Ubqln2,Itgb3
Ubqln2,Cd47
Ubqln2,Hspa8
Ubqln2,Hspa2
Ubqln2,Hspa1l
Ubqln2,Hspa1b
Ubqln2,Psmc4
Ubqln2,Psmd3
Ubqln2,Psmc5
Ubqln2,Ubc
Ubqln2,Ubqln1
Ubqln2,Ubqln4
Ubqln2,Uchl5
Pgm5,Dmd
Pgm5,Utrn
Cbl,Lck
Cbl,Flt1
Cbl,Kit
Cbl,Fyn
Cbl,Egfr
Cbl,Pdgfrb
Cbl,Sh2b2
Cbl,Nck1
Cbl,Traf6
Cbl,Tnfrsf11a
Cbl,Pik3r1
Cbl,Zap70
Cbl,Crk
Cbl,Src
Cbl,Fgr
Cbl,Lyn
Cbl,Sh3kbp1
Cbl,Grb2
Cbl,Pik3cg
Cbl,Itk
Cbl,Syk
Cbl,Synm
Cbl,Hck
Cbl,Pxn
Cbl,Abl1
Cbl,Crkl
Cbl,Sla2
Cbl,Shc1
Cbl,Csf1r
Cbl,Rapgef1
Cbl,Arhgef7
Cbl,Myh9
Cbl,Ptpn11
Cbl,Ube2l3
Cbl,Asap1
Cbl,Capza1
Cbl,Coro1c
Cbl,Dbnl
Cbl,Iqgap1
Cbl,Ostf1
Cbl,Plcg1
Cbl,Ptk2b
Cbl,Sh3gl2
Cbl,Sos1
Cbl,Tgfbr2
Cbl,Atm
Sall1,Hdac2
Sall1,Hdac1
Tead2,Yap1
Tead2,Mpdz
Tead2,Wwtr1
Tead3,Yap1
Tead3,Wwtr1
Tead4,Yap1
Tead4,Tbx21
Tead4,Wwtr1
Tead1,Yap1
Tead1,Wwtr1
Tead1,Arnt
Tead1,Arnt2
Tead1,Crebbp
Tead1,Ncor1
Tead1,Nr4a3
Tead1,Rbl2
Tead1,Sin3a
Tead1,Tcf12
Tead1,Tcf7l2
Tead1,Trrap
Hdac6,Plaa
Hdac6,Tuba1a
Hdac6,Hsp90ab1
Hdac6,Ubc
Hdac6,Vcp
Hdac6,Fbxo32
Hdac6,Kat5
Hdac6,Ep400
Hdac6,Ccdc141
Hdac6,44446
Hdac6,Akt1
Mlf1,Nrbp1
Mlf1,Ywhaz
Mlf1,Rfwd2
Abcd1,Abcd3
Abcd2,Abcd1
Blnk,Map4k1
Blnk,Cmtm3
Blnk,Btk
Blnk,Mapk1
Lcp2,Map4k1
Lcp2,Tnk2
Klrk1,H60a
Klrk1,Hcst
Klrk1,Tyrobp
Tsc1,Rdx
Tsc1,Ezr
Tsc1,Msn
Tsc1,Tsc2
Tsc1,Ngfrap1
Tsc1,Camk2a
Tsc1,Cdk5
Tsc1,Cnrip1
Tsc1,Ctnnb1
Tsc1,Cul3
Tsc1,Cyfip2
Tsc1,Dnaja1
Tsc1,Dnaja2
Tsc1,Dnaja4
Tsc1,Fam49b
Tsc1,Fbxo41
Tsc1,Gnb2l1
Tsc1,Hras
Tsc1,Kras
Tsc1,Lgi1
Tsc1,Prkcb
Tsc1,Prkcg
Tsc1,Pura
Tsc1,Rab14
Tsc1,Rab7
Tsc1,Rac1
Tsc1,Ran
Tsc1,Rap2b
Tsc1,Rasal1
Tsc1,Sec23a
Tsc1,Tbc1d7
Tsc1,Tnik
Tsc1,Tnr
Tsc1,Trim3
Tsc1,Wasf1
Tsc1,Ywhaz
Tsc1,Abi1
Tsc1,Appl1
Tsc1,Arhgap32
Tsc1,Arhgef2
Tsc1,Camk2b
Tsc1,Camk2d
Tsc1,Camk2g
Tsc1,Cyfip1
Tsc1,Dlg4
Tsc1,Mink1
Tsc1,Nckap1
Tsc1,Ppp3ca
Tsc1,Shank3
Tsc1,Syngap1
Tsc1,Ampd2
Tsc1,Cad
Tsc1,Cct3
Tsc1,Cct8
Tsc1,Celsr2
Tsc1,Clasp1
Tsc1,Dcx
Tsc1,Dock7
Tsc1,Dyrk1a
Tsc1,Eef2
Tsc1,Eif4a2
Tsc1,Epha4
Tsc1,Fam115a
